date_day,season,year,month,hour,holiday,day_of_the_week,working_day,weather_situation,temp,atemp,humidity,wind_speed,user_casual,user_registered,user_count,temp_category,month_year
2011-01-03,Spring,2011,January,0,0,Monday,Working,Clear or Light Clouds,9.02,0.197,0.44,0.3582,0,5,5,Cold,Jan 2011
2011-01-03,Spring,2011,January,1,0,Monday,Working,Clear or Light Clouds,8.200000000000001,0.1667,0.44,0.4179,0,2,2,Cold,Jan 2011
2011-01-03,Spring,2011,January,4,0,Monday,Working,Clear or Light Clouds,6.5600000000000005,0.1364,0.47,0.3881,0,1,1,Cold,Jan 2011
2011-01-03,Spring,2011,January,5,0,Monday,Working,Clear or Light Clouds,6.5600000000000005,0.1364,0.47,0.2836,0,3,3,Cold,Jan 2011
2011-01-03,Spring,2011,January,6,0,Monday,Working,Clear or Light Clouds,5.74,0.1061,0.5,0.3881,0,30,30,Cold,Jan 2011
2011-01-03,Spring,2011,January,7,0,Monday,Working,Clear or Light Clouds,5.74,0.1364,0.5,0.194,1,63,64,Cold,Jan 2011
2011-01-03,Spring,2011,January,8,0,Monday,Working,Clear or Light Clouds,5.74,0.1212,0.5,0.2836,1,153,154,Cold,Jan 2011
2011-01-03,Spring,2011,January,9,0,Monday,Working,Clear or Light Clouds,6.5600000000000005,0.1364,0.43,0.3881,7,81,88,Cold,Jan 2011
2011-01-03,Spring,2011,January,10,0,Monday,Working,Clear or Light Clouds,7.38,0.1667,0.43,0.2537,11,33,44,Cold,Jan 2011
2011-01-03,Spring,2011,January,11,0,Monday,Working,Clear or Light Clouds,8.200000000000001,0.1818,0.4,0.3284,10,41,51,Cold,Jan 2011
2011-01-03,Spring,2011,January,12,0,Monday,Working,Clear or Light Clouds,9.02,0.2121,0.35,0.2985,13,48,61,Cold,Jan 2011
2011-01-03,Spring,2011,January,13,0,Monday,Working,Clear or Light Clouds,9.84,0.2121,0.35,0.2836,8,53,61,Cold,Jan 2011
2011-01-03,Spring,2011,January,14,0,Monday,Working,Clear or Light Clouds,10.66,0.2424,0.3,0.2836,11,66,77,Cool,Jan 2011
2011-01-03,Spring,2011,January,15,0,Monday,Working,Clear or Light Clouds,10.66,0.2424,0.3,0.2537,14,58,72,Cool,Jan 2011
2011-01-03,Spring,2011,January,16,0,Monday,Working,Clear or Light Clouds,10.66,0.2424,0.3,0.2537,9,67,76,Cool,Jan 2011
2011-01-03,Spring,2011,January,17,0,Monday,Working,Clear or Light Clouds,9.84,0.2273,0.3,0.2239,11,146,157,Cold,Jan 2011
2011-01-03,Spring,2011,January,18,0,Monday,Working,Clear or Light Clouds,9.84,0.2576,0.32,0.1045,9,148,157,Cold,Jan 2011
2011-01-03,Spring,2011,January,19,0,Monday,Working,Clear or Light Clouds,8.200000000000001,0.2576,0.47,0.0,8,102,110,Cold,Jan 2011
2011-01-03,Spring,2011,January,20,0,Monday,Working,Clear or Light Clouds,8.200000000000001,0.2273,0.47,0.1045,3,49,52,Cold,Jan 2011
2011-01-03,Spring,2011,January,21,0,Monday,Working,Clear or Light Clouds,7.38,0.197,0.64,0.1343,3,49,52,Cold,Jan 2011
2011-01-03,Spring,2011,January,22,0,Monday,Working,Clear or Light Clouds,5.74,0.1515,0.69,0.1343,0,20,20,Cold,Jan 2011
2011-01-03,Spring,2011,January,23,0,Monday,Working,Clear or Light Clouds,7.38,0.2121,0.55,0.1045,1,11,12,Cold,Jan 2011
2011-01-04,Spring,2011,January,0,0,Tuesday,Working,Clear or Light Clouds,6.5600000000000005,0.1818,0.55,0.1045,0,5,5,Cold,Jan 2011
2011-01-04,Spring,2011,January,1,0,Tuesday,Working,Clear or Light Clouds,6.5600000000000005,0.1818,0.59,0.1045,0,2,2,Cold,Jan 2011
2011-01-04,Spring,2011,January,2,0,Tuesday,Working,Clear or Light Clouds,5.74,0.1515,0.63,0.1343,0,1,1,Cold,Jan 2011
2011-01-04,Spring,2011,January,4,0,Tuesday,Working,Clear or Light Clouds,5.74,0.1818,0.63,0.0896,0,2,2,Cold,Jan 2011
2011-01-04,Spring,2011,January,5,0,Tuesday,Working,Clear or Light Clouds,4.92,0.1515,0.68,0.1045,0,4,4,Cold,Jan 2011
2011-01-04,Spring,2011,January,6,0,Tuesday,Working,Clear or Light Clouds,4.92,0.1515,0.74,0.1045,0,36,36,Cold,Jan 2011
2011-01-04,Spring,2011,January,7,0,Tuesday,Working,Clear or Light Clouds,4.92,0.1515,0.74,0.1343,2,92,94,Cold,Jan 2011
2011-01-04,Spring,2011,January,8,0,Tuesday,Working,Clear or Light Clouds,5.74,0.1515,0.69,0.1642,2,177,179,Cold,Jan 2011
2011-01-04,Spring,2011,January,9,0,Tuesday,Working,Clear or Light Clouds,6.5600000000000005,0.1515,0.64,0.2239,2,98,100,Cold,Jan 2011
2011-01-04,Spring,2011,January,10,0,Tuesday,Working,Foggy or Cloudy with Mist,6.5600000000000005,0.1364,0.69,0.3284,5,37,42,Cold,Jan 2011
2011-01-04,Spring,2011,January,11,0,Tuesday,Working,Clear or Light Clouds,9.02,0.2121,0.51,0.2985,7,50,57,Cold,Jan 2011
2011-01-04,Spring,2011,January,12,0,Tuesday,Working,Clear or Light Clouds,9.02,0.2273,0.51,0.1642,12,66,78,Cold,Jan 2011
2011-01-04,Spring,2011,January,13,0,Tuesday,Working,Clear or Light Clouds,9.84,0.2273,0.56,0.194,18,79,97,Cold,Jan 2011
2011-01-04,Spring,2011,January,14,0,Tuesday,Working,Clear or Light Clouds,10.66,0.2576,0.52,0.2239,9,54,63,Cool,Jan 2011
2011-01-04,Spring,2011,January,15,0,Tuesday,Working,Clear or Light Clouds,11.48,0.2727,0.52,0.2537,17,48,65,Cool,Jan 2011
2011-01-04,Spring,2011,January,16,0,Tuesday,Working,Clear or Light Clouds,12.299999999999999,0.2879,0.49,0.2537,15,68,83,Cool,Jan 2011
2011-01-04,Spring,2011,January,17,0,Tuesday,Working,Clear or Light Clouds,11.48,0.2727,0.48,0.2239,10,202,212,Cool,Jan 2011
2011-01-04,Spring,2011,January,18,0,Tuesday,Working,Clear or Light Clouds,10.66,0.2576,0.48,0.194,3,179,182,Cool,Jan 2011
2011-01-04,Spring,2011,January,19,0,Tuesday,Working,Clear or Light Clouds,9.84,0.2576,0.48,0.1045,2,110,112,Cold,Jan 2011
2011-01-04,Spring,2011,January,20,0,Tuesday,Working,Clear or Light Clouds,9.84,0.2576,0.48,0.1045,1,53,54,Cold,Jan 2011
2011-01-04,Spring,2011,January,21,0,Tuesday,Working,Clear or Light Clouds,9.02,0.2727,0.64,0.0,0,48,48,Cold,Jan 2011
2011-01-04,Spring,2011,January,22,0,Tuesday,Working,Clear or Light Clouds,9.02,0.2576,0.64,0.0896,1,34,35,Cold,Jan 2011
2011-01-04,Spring,2011,January,23,0,Tuesday,Working,Clear or Light Clouds,8.200000000000001,0.2273,0.69,0.0896,2,9,11,Cold,Jan 2011
2011-01-05,Spring,2011,January,0,0,Wednesday,Working,Clear or Light Clouds,8.200000000000001,0.2576,0.64,0.0,0,6,6,Cold,Jan 2011
2011-01-05,Spring,2011,January,1,0,Wednesday,Working,Clear or Light Clouds,6.5600000000000005,0.197,0.74,0.0896,0,6,6,Cold,Jan 2011
2011-01-05,Spring,2011,January,2,0,Wednesday,Working,Clear or Light Clouds,6.5600000000000005,0.197,0.74,0.0896,0,2,2,Cold,Jan 2011
2011-01-05,Spring,2011,January,4,0,Wednesday,Working,Clear or Light Clouds,9.84,0.2273,0.48,0.2239,0,2,2,Cold,Jan 2011
2011-01-05,Spring,2011,January,5,0,Wednesday,Working,Clear or Light Clouds,9.02,0.2273,0.47,0.1642,0,3,3,Cold,Jan 2011
2011-01-05,Spring,2011,January,6,0,Wednesday,Working,Clear or Light Clouds,8.200000000000001,0.197,0.47,0.2239,0,33,33,Cold,Jan 2011
2011-01-05,Spring,2011,January,7,0,Wednesday,Working,Clear or Light Clouds,7.38,0.1818,0.43,0.194,1,87,88,Cold,Jan 2011
2011-01-05,Spring,2011,January,8,0,Wednesday,Working,Clear or Light Clouds,8.200000000000001,0.1818,0.4,0.2985,3,192,195,Cold,Jan 2011
2011-01-05,Spring,2011,January,9,0,Wednesday,Working,Clear or Light Clouds,9.02,0.197,0.37,0.3284,6,109,115,Cold,Jan 2011
2011-01-05,Spring,2011,January,10,0,Wednesday,Working,Clear or Light Clouds,9.02,0.197,0.37,0.3284,4,53,57,Cold,Jan 2011
2011-01-05,Spring,2011,January,11,0,Wednesday,Working,Clear or Light Clouds,10.66,0.2273,0.33,0.3284,12,34,46,Cool,Jan 2011
2011-01-05,Spring,2011,January,12,0,Wednesday,Working,Clear or Light Clouds,10.66,0.2273,0.33,0.3284,5,74,79,Cool,Jan 2011
2011-01-05,Spring,2011,January,13,0,Wednesday,Working,Clear or Light Clouds,11.48,0.2576,0.3,0.2985,6,65,71,Cool,Jan 2011
2011-01-05,Spring,2011,January,14,0,Wednesday,Working,Clear or Light Clouds,12.299999999999999,0.2879,0.28,0.194,10,52,62,Cool,Jan 2011
2011-01-05,Spring,2011,January,15,0,Wednesday,Working,Clear or Light Clouds,12.299999999999999,0.2879,0.28,0.194,7,55,62,Cool,Jan 2011
2011-01-05,Spring,2011,January,16,0,Wednesday,Working,Clear or Light Clouds,12.299999999999999,0.3182,0.28,0.0896,4,85,89,Cool,Jan 2011
2011-01-05,Spring,2011,January,17,0,Wednesday,Working,Clear or Light Clouds,9.84,0.2273,0.38,0.194,4,186,190,Cold,Jan 2011
2011-01-05,Spring,2011,January,18,0,Wednesday,Working,Clear or Light Clouds,9.84,0.2424,0.38,0.1343,3,166,169,Cold,Jan 2011
2011-01-05,Spring,2011,January,19,0,Wednesday,Working,Clear or Light Clouds,9.84,0.2576,0.38,0.1045,5,127,132,Cold,Jan 2011
2011-01-05,Spring,2011,January,20,0,Wednesday,Working,Clear or Light Clouds,9.02,0.2273,0.47,0.1642,7,82,89,Cold,Jan 2011
2011-01-05,Spring,2011,January,21,0,Wednesday,Working,Clear or Light Clouds,8.200000000000001,0.197,0.51,0.194,3,40,43,Cold,Jan 2011
2011-01-05,Spring,2011,January,22,0,Wednesday,Working,Clear or Light Clouds,7.38,0.197,0.55,0.1343,1,41,42,Cold,Jan 2011
2011-01-05,Spring,2011,January,23,0,Wednesday,Working,Clear or Light Clouds,8.200000000000001,0.2576,0.47,0.0,1,18,19,Cold,Jan 2011
2011-01-06,Spring,2011,January,0,0,Thursday,Working,Clear or Light Clouds,7.38,0.2424,0.55,0.0,0,11,11,Cold,Jan 2011
2011-01-06,Spring,2011,January,1,0,Thursday,Working,Clear or Light Clouds,6.5600000000000005,0.2273,0.64,0.0,0,4,4,Cold,Jan 2011
2011-01-06,Spring,2011,January,2,0,Thursday,Working,Clear or Light Clouds,6.5600000000000005,0.2273,0.64,0.0,0,2,2,Cold,Jan 2011
2011-01-06,Spring,2011,January,4,0,Thursday,Working,Foggy or Cloudy with Mist,6.5600000000000005,0.197,0.64,0.0896,0,1,1,Cold,Jan 2011
2011-01-06,Spring,2011,January,5,0,Thursday,Working,Foggy or Cloudy with Mist,5.74,0.1818,0.69,0.0896,0,4,4,Cold,Jan 2011
2011-01-06,Spring,2011,January,6,0,Thursday,Working,Foggy or Cloudy with Mist,5.74,0.1667,0.63,0.1045,0,36,36,Cold,Jan 2011
2011-01-06,Spring,2011,January,7,0,Thursday,Working,Foggy or Cloudy with Mist,6.5600000000000005,0.2273,0.59,0.0,0,95,95,Cold,Jan 2011
2011-01-06,Spring,2011,January,8,0,Thursday,Working,Clear or Light Clouds,6.5600000000000005,0.2273,0.59,0.0,3,216,219,Cold,Jan 2011
2011-01-06,Spring,2011,January,9,0,Thursday,Working,Foggy or Cloudy with Mist,7.38,0.2424,0.51,0.0,6,116,122,Cold,Jan 2011
2011-01-06,Spring,2011,January,10,0,Thursday,Working,Clear or Light Clouds,8.200000000000001,0.2576,0.47,0.0,3,42,45,Cold,Jan 2011
2011-01-06,Spring,2011,January,11,0,Thursday,Working,Clear or Light Clouds,9.02,0.2576,0.44,0.0896,2,57,59,Cold,Jan 2011
2011-01-06,Spring,2011,January,12,0,Thursday,Working,Clear or Light Clouds,10.66,0.2879,0.35,0.0,6,78,84,Cool,Jan 2011
2011-01-06,Spring,2011,January,13,0,Thursday,Working,Clear or Light Clouds,10.66,0.2727,0.35,0.1045,12,55,67,Cool,Jan 2011
2011-01-06,Spring,2011,January,14,0,Thursday,Working,Clear or Light Clouds,11.48,0.2727,0.36,0.1642,11,59,70,Cool,Jan 2011
2011-01-06,Spring,2011,January,15,0,Thursday,Working,Clear or Light Clouds,11.48,0.2727,0.36,0.0,8,54,62,Cool,Jan 2011
2011-01-06,Spring,2011,January,16,0,Thursday,Working,Clear or Light Clouds,10.66,0.2576,0.38,0.1642,12,74,86,Cool,Jan 2011
2011-01-06,Spring,2011,January,17,0,Thursday,Working,Clear or Light Clouds,9.02,0.2273,0.51,0.1642,9,163,172,Cold,Jan 2011
2011-01-06,Spring,2011,January,18,0,Thursday,Working,Clear or Light Clouds,9.02,0.2273,0.51,0.1343,5,158,163,Cold,Jan 2011
2011-01-06,Spring,2011,January,19,0,Thursday,Working,Clear or Light Clouds,9.02,0.2576,0.55,0.0896,3,109,112,Cold,Jan 2011
2011-01-06,Spring,2011,January,20,0,Thursday,Working,Clear or Light Clouds,8.200000000000001,0.2121,0.51,0.1642,3,66,69,Cold,Jan 2011
2011-01-06,Spring,2011,January,21,0,Thursday,Working,Foggy or Cloudy with Mist,9.02,0.2121,0.55,0.2239,0,48,48,Cold,Jan 2011
2011-01-06,Spring,2011,January,22,0,Thursday,Working,Foggy or Cloudy with Mist,9.02,0.2121,0.51,0.2836,1,51,52,Cold,Jan 2011
2011-01-06,Spring,2011,January,23,0,Thursday,Working,Foggy or Cloudy with Mist,8.200000000000001,0.197,0.59,0.194,4,19,23,Cold,Jan 2011
2011-01-07,Spring,2011,January,0,0,Friday,Working,Foggy or Cloudy with Mist,8.200000000000001,0.197,0.64,0.194,4,13,17,Cold,Jan 2011
2011-01-07,Spring,2011,January,1,0,Friday,Working,Foggy or Cloudy with Mist,8.200000000000001,0.197,0.69,0.2239,2,5,7,Cold,Jan 2011
2011-01-07,Spring,2011,January,2,0,Friday,Working,Foggy or Cloudy with Mist,8.200000000000001,0.197,0.69,0.2239,0,1,1,Cold,Jan 2011
2011-01-07,Spring,2011,January,4,0,Friday,Working,Foggy or Cloudy with Mist,8.200000000000001,0.2121,0.69,0.1343,0,1,1,Cold,Jan 2011
2011-01-07,Spring,2011,January,5,0,Friday,Working,Light Rain or Light Snow,9.02,0.2727,0.55,0.0,0,5,5,Cold,Jan 2011
2011-01-07,Spring,2011,January,6,0,Friday,Working,Foggy or Cloudy with Mist,8.200000000000001,0.2576,0.69,0.0,8,26,34,Cold,Jan 2011
2011-01-07,Spring,2011,January,7,0,Friday,Working,Clear or Light Clouds,8.200000000000001,0.2121,0.69,0.1343,8,76,84,Cold,Jan 2011
2011-01-07,Spring,2011,January,8,0,Friday,Working,Clear or Light Clouds,8.200000000000001,0.197,0.51,0.2537,20,190,210,Cold,Jan 2011
2011-01-07,Spring,2011,January,9,0,Friday,Working,Clear or Light Clouds,8.200000000000001,0.1818,0.47,0.2985,9,125,134,Cold,Jan 2011
2011-01-07,Spring,2011,January,10,0,Friday,Working,Clear or Light Clouds,9.02,0.197,0.37,0.3284,16,47,63,Cold,Jan 2011
2011-01-07,Spring,2011,January,11,0,Friday,Working,Foggy or Cloudy with Mist,8.200000000000001,0.197,0.4,0.2239,19,48,67,Cold,Jan 2011
2011-01-07,Spring,2011,January,12,0,Friday,Working,Foggy or Cloudy with Mist,8.200000000000001,0.197,0.37,0.2537,9,50,59,Cold,Jan 2011
2011-01-07,Spring,2011,January,13,0,Friday,Working,Foggy or Cloudy with Mist,8.200000000000001,0.1818,0.37,0.2836,9,64,73,Cold,Jan 2011
2011-01-07,Spring,2011,January,14,0,Friday,Working,Foggy or Cloudy with Mist,8.200000000000001,0.197,0.4,0.2537,7,43,50,Cold,Jan 2011
2011-01-07,Spring,2011,January,15,0,Friday,Working,Foggy or Cloudy with Mist,8.200000000000001,0.2121,0.37,0.1642,9,63,72,Cold,Jan 2011
2011-01-07,Spring,2011,January,16,0,Friday,Working,Foggy or Cloudy with Mist,8.200000000000001,0.2121,0.37,0.1642,5,82,87,Cold,Jan 2011
2011-01-07,Spring,2011,January,17,0,Friday,Working,Foggy or Cloudy with Mist,8.200000000000001,0.2576,0.37,0.0,9,178,187,Cold,Jan 2011
2011-01-07,Spring,2011,January,18,0,Friday,Working,Clear or Light Clouds,8.200000000000001,0.2273,0.4,0.0896,7,116,123,Cold,Jan 2011
2011-01-07,Spring,2011,January,19,0,Friday,Working,Clear or Light Clouds,6.5600000000000005,0.197,0.55,0.0896,3,92,95,Cold,Jan 2011
2011-01-07,Spring,2011,January,20,0,Friday,Working,Clear or Light Clouds,7.38,0.2121,0.47,0.1045,1,50,51,Cold,Jan 2011
2011-01-07,Spring,2011,January,21,0,Friday,Working,Clear or Light Clouds,7.38,0.197,0.47,0.1343,0,39,39,Cold,Jan 2011
2011-01-07,Spring,2011,January,22,0,Friday,Working,Foggy or Cloudy with Mist,7.38,0.197,0.43,0.1642,2,34,36,Cold,Jan 2011
2011-01-07,Spring,2011,January,23,0,Friday,Working,Foggy or Cloudy with Mist,7.38,0.197,0.51,0.1642,1,14,15,Cold,Jan 2011
2011-01-08,Spring,2011,January,0,0,Saturday,Holiday,Foggy or Cloudy with Mist,7.38,0.197,0.51,0.1642,1,24,25,Cold,Jan 2011
2011-01-08,Spring,2011,January,1,0,Saturday,Holiday,Foggy or Cloudy with Mist,7.38,0.2121,0.55,0.0896,1,15,16,Cold,Jan 2011
2011-01-08,Spring,2011,January,2,0,Saturday,Holiday,Foggy or Cloudy with Mist,7.38,0.2424,0.55,0.0,3,13,16,Cold,Jan 2011
2011-01-08,Spring,2011,January,3,0,Saturday,Holiday,Light Rain or Light Snow,7.38,0.197,0.55,0.1642,0,7,7,Cold,Jan 2011
2011-01-08,Spring,2011,January,4,0,Saturday,Holiday,Light Rain or Light Snow,7.38,0.197,0.55,0.1642,0,1,1,Cold,Jan 2011
2011-01-08,Spring,2011,January,5,0,Saturday,Holiday,Foggy or Cloudy with Mist,6.5600000000000005,0.1667,0.74,0.1642,0,5,5,Cold,Jan 2011
2011-01-08,Spring,2011,January,6,0,Saturday,Holiday,Foggy or Cloudy with Mist,6.5600000000000005,0.1667,0.74,0.1642,0,2,2,Cold,Jan 2011
2011-01-08,Spring,2011,January,7,0,Saturday,Holiday,Foggy or Cloudy with Mist,6.5600000000000005,0.1818,0.74,0.1045,1,8,9,Cold,Jan 2011
2011-01-08,Spring,2011,January,8,0,Saturday,Holiday,Light Rain or Light Snow,6.5600000000000005,0.1818,0.93,0.1045,0,15,15,Cold,Jan 2011
2011-01-08,Spring,2011,January,9,0,Saturday,Holiday,Light Rain or Light Snow,6.5600000000000005,0.1818,0.93,0.1045,0,20,20,Cold,Jan 2011
2011-01-08,Spring,2011,January,10,0,Saturday,Holiday,Foggy or Cloudy with Mist,7.38,0.197,0.8,0.1642,5,56,61,Cold,Jan 2011
2011-01-08,Spring,2011,January,11,0,Saturday,Holiday,Foggy or Cloudy with Mist,8.200000000000001,0.1818,0.69,0.3881,2,60,62,Cold,Jan 2011
2011-01-08,Spring,2011,January,12,0,Saturday,Holiday,Foggy or Cloudy with Mist,8.200000000000001,0.1818,0.59,0.3582,8,90,98,Cold,Jan 2011
2011-01-08,Spring,2011,January,13,0,Saturday,Holiday,Clear or Light Clouds,8.200000000000001,0.1818,0.44,0.3284,7,95,102,Cold,Jan 2011
2011-01-08,Spring,2011,January,14,0,Saturday,Holiday,Clear or Light Clouds,8.200000000000001,0.1667,0.32,0.4925,12,83,95,Cold,Jan 2011
2011-01-08,Spring,2011,January,15,0,Saturday,Holiday,Clear or Light Clouds,8.200000000000001,0.1667,0.32,0.4478,5,69,74,Cold,Jan 2011
2011-01-08,Spring,2011,January,16,0,Saturday,Holiday,Clear or Light Clouds,7.38,0.1364,0.29,0.4478,8,68,76,Cold,Jan 2011
2011-01-08,Spring,2011,January,17,0,Saturday,Holiday,Clear or Light Clouds,6.5600000000000005,0.1212,0.37,0.5522,5,64,69,Cold,Jan 2011
